h3_cell,h3_center_lat,h3_center_lon
8838740a45fffff,36.28791,4.134874
8838740a4dfffff,36.296015,4.131697
8838740a69fffff,36.281318,4.127966
8838741113fffff,36.448977,4.128658
8838741121fffff,36.425614,4.080792
8838741123fffff,36.424111,4.09089
8838741125fffff,36.419021,4.07388
8838741127fffff,36.417518,4.083977
8838741135fffff,36.422608,4.100988
88387411b3fffff,36.417133,4.188719
88387411c1fffff,36.454062,4.145684
88387411c5fffff,36.447471,4.138762
88387411c7fffff,36.445964,4.148866
88387411cdfffff,36.455568,4.135579
88387411e9fffff,36.440879,4.131841
88387411ebfffff,36.439373,4.141944
8838741841fffff,36.361765,4.0489
8838741843fffff,36.360262,4.058989
8838741849fffff,36.369861,4.045715
883874184bfffff,36.368359,4.055804
883874185dfffff,36.366855,4.065894
883874194bfffff,36.322197,4.007505
8838741959fffff,36.327291,4.024483
883874195dfffff,36.320696,4.017586
8838741991fffff,36.290935,4.114702
8838741993fffff,36.289423,4.124788
8838741997fffff,36.282831,4.117881
883874199bfffff,36.297527,4.12161
8838741a05fffff,36.394146,4.036156
8838741a1bfffff,36.410925,4.077066
8838741a21fffff,36.379457,4.03244
8838741a25fffff,36.372862,4.025538
8838741a29fffff,36.387551,4.029253
8838741a2bfffff,36.386051,4.039343
8838741a2dfffff,36.380956,4.022351
8838741a35fffff,36.376455,4.052619
8838741a37fffff,36.374952,4.06271
8838741a61fffff,36.397143,4.015975
8838741a63fffff,36.395645,4.026066
8838741a65fffff,36.390548,4.009074
8838741a67fffff,36.38905,4.019163
8838741a69fffff,36.405235,4.012787
8838741a6bfffff,36.403738,4.022878
8838741a6dfffff,36.39864,4.005886
8838741a81fffff,36.390216,4.11372
8838741a83fffff,36.388709,4.123817
8838741a85fffff,36.383624,4.106807
8838741a87fffff,36.382117,4.116902
8838741a89fffff,36.398315,4.110538
8838741a8dfffff,36.391723,4.103625
8838741a91fffff,36.393792,4.14083
8838741a93fffff,36.392283,4.150929
8838741a95fffff,36.387201,4.133913
8838741a97fffff,36.385691,4.144011
8838741a99fffff,36.401892,4.13765
8838741a9bfffff,36.400383,4.147749
8838741a9dfffff,36.395301,4.130732
8838741aa9fffff,36.377032,4.099895
8838741aabfffff,36.375525,4.109989
8838741ab1fffff,36.372508,4.130178
8838741ab9fffff,36.380609,4.126998
8838741abbfffff,36.3791,4.137094
8838741abdfffff,36.374017,4.120084
8838741ac1fffff,36.407918,4.097258
8838741ac3fffff,36.406413,4.107355
8838741ac7fffff,36.399821,4.100442
8838741ac9fffff,36.416015,4.094074
8838741acbfffff,36.414511,4.104172
8838741acdfffff,36.409422,4.087162
8838741ad5fffff,36.404907,4.117453
8838741addfffff,36.413006,4.11427
8838741ae3fffff,36.38513,4.096712
8838741b31fffff,36.336887,4.011214
8838741b33fffff,36.335387,4.021298
8838741b35fffff,36.330292,4.004318
8838741b37fffff,36.328792,4.014401
8838741b53fffff,36.374361,4.01545
8838741b5bfffff,36.382455,4.012262
8838743037fffff,36.392199,4.655428
8838743053fffff,36.437873,4.656799
883874305bfffff,36.446002,4.653648
88387431c3fffff,36.377492,4.651594
88387431cbfffff,36.385624,4.648445
88387431d1fffff,36.382511,4.668709
88387431d5fffff,36.375935,4.661725
88387431d9fffff,36.390643,4.665561
88387431ddfffff,36.384068,4.658577
8838743261fffff,36.471551,4.586515
8838743263fffff,36.470005,4.596652
8838743265fffff,36.464973,4.579534
8838743267fffff,36.463427,4.58967
8838743269fffff,36.479674,4.583358
883874326bfffff,36.478129,4.593496
883874326dfffff,36.473096,4.576378
88387432a1fffff,36.442893,4.673927
88387432a5fffff,36.436318,4.666937
88387432a9fffff,36.451023,4.670777
88387432adfffff,36.444448,4.663787
88387432e7fffff,36.452577,4.660637
8838743645fffff,36.510526,4.781359
883874364dfffff,36.518659,4.778213
8838743669fffff,36.503954,4.774351
8838743a61fffff,36.322571,4.51102
8838743a63fffff,36.321025,4.521136
8838743a65fffff,36.315991,4.504061
8838743a67fffff,36.314445,4.514175
8838743a69fffff,36.330697,4.507864
8838743a6bfffff,36.329151,4.517981
8838743a6dfffff,36.324117,4.500905
8838743b4bfffff,36.304375,4.480034
8838743b59fffff,36.309411,4.497103
8838743b5dfffff,36.30283,4.490146
8838744103fffff,35.998296,3.879205
8838744107fffff,35.991698,3.872351
8838744115fffff,35.996791,3.889242
8838744131fffff,35.982089,3.885569
8838744139fffff,35.990193,3.882387
883874413bfffff,35.988687,3.892424
883874413dfffff,35.983595,3.875533
8838744149fffff,36.025607,3.849577
88387441c1fffff,36.006971,3.923038
88387441c3fffff,36.005462,3.93308
88387441c5fffff,36.000374,3.916178
88387441c7fffff,35.998866,3.926218
88387441c9fffff,36.015076,3.919857
88387441cbfffff,36.013568,3.9299
88387441cdfffff,36.008479,3.912997
8838744241fffff,36.12039,3.878466
8838744243fffff,36.11889,3.888517
8838744249fffff,36.128487,3.875279
883874424bfffff,36.126988,3.885331
883874425dfffff,36.125488,3.895382
8838744321fffff,36.035206,3.836352
8838744323fffff,36.033706,3.846391
8838744327fffff,36.027107,3.839539
883874432bfffff,36.041805,3.843205
8838744335fffff,36.032205,3.85643
883874433dfffff,36.040305,3.853245
8838744849fffff,35.922702,3.823936
8838744a21fffff,35.932307,3.810727
8838744a23fffff,35.930805,3.820753
8838744a27fffff,35.924205,3.813911
8838744a2bfffff,35.938907,3.817569
8838744a35fffff,35.929301,3.830779
8838744a3dfffff,35.937404,3.827596
8838745003fffff,36.168334,3.812264
883874500bfffff,36.176425,3.809071
8838745011fffff,36.173443,3.829176
8838745015fffff,36.166843,3.822315
8838745019fffff,36.181535,3.825984
883874501dfffff,36.174934,3.819123
8838745045fffff,36.18089,3.778919
883874504dfffff,36.188978,3.775724
8838745057fffff,36.183025,3.815931
8838745069fffff,36.174288,3.772065
8838745081fffff,36.159373,3.87258
8838745089fffff,36.167468,3.869391
883874508bfffff,36.165972,3.879446
883874508dfffff,36.160869,3.862526
88387450b5fffff,36.135085,3.882144
88387450b7fffff,36.133586,3.892196
88387450c3fffff,36.175562,3.866201
88387450c7fffff,36.168963,3.859336
88387450d1fffff,36.180665,3.883125
88387450d5fffff,36.174067,3.876257
88387450d9fffff,36.18876,3.879936
