h3_cell,h3_center_lat,h3_center_lon
883874a4edfffff,36.703196,4.821517
883874a519fffff,36.681572,4.762898
883874a549fffff,36.695892,4.71906
883874a5cdfffff,36.678467,4.783242
883874a693fffff,36.763878,4.87464
883874a697fffff,36.757309,4.867601
883874a723fffff,36.704013,4.715904
883874a821fffff,36.521398,4.509896
883874a823fffff,36.519861,4.520033
883874a8c1fffff,36.549678,4.575218
883874a8c7fffff,36.541559,4.578378
883874a8e9fffff,36.536521,4.561251
883874a8ebfffff,36.53498,4.571393
883874a923fffff,36.473797,4.471236
883874a931fffff,36.478842,4.488333
883874a9c9fffff,36.511744,4.523195
883874aa9dfffff,36.593767,4.586702
883874ac17fffff,36.562428,4.742163
883874ac8dfffff,36.557757,4.772636
883874acc1fffff,36.574017,4.76634
883874acc3fffff,36.572459,4.776501
883874ad9bfffff,36.520219,4.768059
883874ae09fffff,36.632084,4.686465
883874ae0dfffff,36.625509,4.67946
883874ae41fffff,36.641751,4.673148
883874ae43fffff,36.640205,4.68331
883874ae45fffff,36.635176,4.666144
883874ae6bfffff,36.627055,4.669301
883874ae6dfffff,36.622025,4.65214
883874aeb1fffff,36.59529,4.777218
883874aeb5fffff,36.588718,4.770204
883874aeb7fffff,36.587161,4.780366
883874aeb9fffff,36.603419,4.774069
883874aebbfffff,36.601862,4.784233
883874aebdfffff,36.596847,4.767055
883874b48dfffff,36.831201,4.733474
883874b4c5fffff,36.840856,4.720128
883874b4e1fffff,36.826168,4.716263
883874b4e3fffff,36.824627,4.726448
883874b4e9fffff,36.834282,4.713103
883874b4ebfffff,36.832742,4.723288
883874c001fffff,36.442352,3.760691
883874c005fffff,36.435749,3.753819
883874c009fffff,36.450427,3.757485
883874c00dfffff,36.443824,3.750614
883874c015fffff,36.439405,3.780846
883874c02dfffff,36.422543,3.740081
883874c031fffff,36.424727,3.777176
883874c033fffff,36.423251,3.787252
883874c037fffff,36.41665,3.780379
883874c045fffff,36.453368,3.737331
883874c069fffff,36.446765,3.730462
883874c06bfffff,36.445295,3.740538
883874c097fffff,36.427579,3.861488
883874c0a3fffff,36.40926,3.830764
883874c0b1fffff,36.41438,3.847723
883874c0b3fffff,36.412897,3.857803
883874c0b5fffff,36.407779,3.840842
883874c0b7fffff,36.406298,3.850922
883874c0bdfffff,36.415861,3.837643
883874c0e1fffff,36.428377,3.804205
883874c0edfffff,36.429853,3.794127
883874c105fffff,36.389525,3.705759
883874c11bfffff,36.406393,3.746491
883874c153fffff,36.41594,3.733214
883874c157fffff,36.409337,3.726348
883874c15bfffff,36.424014,3.730008
883874c1dbfffff,36.413697,3.800531
883874c315fffff,36.449701,3.710313
883874c321fffff,36.431354,3.679651
883874c32bfffff,36.437959,3.686512
883874c331fffff,36.435026,3.706656
883874c33bfffff,36.44163,3.713521
883874c33dfffff,36.436493,3.696584
883874c35bfffff,36.480518,3.707553
883874c511fffff,36.425266,3.928885
883874c519fffff,36.433352,3.92569
883874c51dfffff,36.426754,3.918798
883874c543fffff,36.437811,3.89543
883874c545fffff,36.432696,3.878457
883874c547fffff,36.431212,3.888541
883874c549fffff,36.447377,3.882146
883874c557fffff,36.434839,3.915603
883874c561fffff,36.418014,3.874769
883874c565fffff,36.411414,3.867884
883874c589fffff,36.419305,3.969237
883874c5c7fffff,36.420797,3.959148
883874cdb5fffff,36.237939,3.907919
883874ce59fffff,36.404815,3.861001
883874d01dfffff,36.570709,3.662135
883874d041fffff,36.583136,3.628669
883874d043fffff,36.581682,3.638752
883874d045fffff,36.576529,3.621804
883874d047fffff,36.575075,3.631886
883874d049fffff,36.591196,3.625451
883874d04bfffff,36.589742,3.635534
883874d057fffff,36.578771,3.65892
883874d083fffff,36.553881,3.72586
883874d08dfffff,36.556807,3.705688
883874d091fffff,36.559021,3.742825
883874d099fffff,36.567089,3.739615
883874d09dfffff,36.560485,3.732737
883874d0c1fffff,36.572938,3.699263
883874d0c9fffff,36.581002,3.696049
883874d0e3fffff,36.550202,3.698816
883874d0e9fffff,36.559728,3.685518
883874d341fffff,36.593286,3.558102
883874d349fffff,36.601341,3.554879
883874d34dfffff,36.594732,3.548023
883874d81bfffff,36.426916,3.605537
883874d823fffff,36.393879,3.571301
883874d82bfffff,36.401944,3.568086
883874d859fffff,36.445961,3.578978
883874d85dfffff,36.439353,3.57213
883874d8c9fffff,36.432064,3.622454
883874d8cbfffff,36.430603,3.63252
883874d8d9fffff,36.435747,3.649443
883874d8dbfffff,36.434284,3.659512
883874d8ddfffff,36.429141,3.642587
883874d9c9fffff,36.385813,3.574515
883874da37fffff,36.447416,3.568914
883874da43fffff,36.489174,3.542758
883874da47fffff,36.482565,3.535912
883874da6bfffff,36.475956,3.529067
883874daa1fffff,36.441589,3.609174
883874daa5fffff,36.434982,3.602323
883874daa7fffff,36.433523,3.612388
883874dae5fffff,36.452569,3.585827
8838751a0bfffff,36.57688,5.387379
8838751a41fffff,36.58827,5.363868
8838751a45fffff,36.581717,5.356781
8838751a4dfffff,36.58988,5.353669
8838751a51fffff,36.591597,5.391361
8838751a57fffff,36.583432,5.39447
8838751a5dfffff,36.59321,5.381159
8838751a69fffff,36.575164,5.349694
8838751b61fffff,36.521123,5.303243
8838751b65fffff,36.514568,5.296168
8838751b69fffff,36.529286,5.300129
8838751b6dfffff,36.522731,5.293054
883875c001fffff,36.61511,5.0949
883875c003fffff,36.613524,5.105086
883875c007fffff,36.606963,5.098029
883875c015fffff,36.611938,5.115273
883875c01dfffff,36.620085,5.112144
883875c041fffff,36.632986,5.078453
883875c049fffff,36.641131,5.075322
883875c04bfffff,36.639548,5.08551
883875c04dfffff,36.634568,5.068267
883875c095fffff,36.600802,5.186592
883875c0b1fffff,36.58609,5.182649
883875c0b3fffff,36.584495,5.192837
883875c0c1fffff,36.621881,5.149772
883875c0c7fffff,36.613731,5.152898
883875c0c9fffff,36.63003,5.146646
883875c0cbfffff,36.62844,5.156837
883875c0cdfffff,36.62347,5.139582
883875c12dfffff,36.549483,5.024405
883875c223fffff,36.649275,5.07219
883875c227fffff,36.642712,5.065135
883875c235fffff,36.647693,5.082379
883875c483fffff,36.625864,5.368713
883875c495fffff,36.624253,5.378917
883875c4b1fffff,36.609538,5.374937
883875c4b9fffff,36.617701,5.371825
883875c4bbfffff,36.61609,5.382029
883875c4bdfffff,36.611149,5.364734
883875c509fffff,36.600974,5.234429
883875c50bfffff,36.599375,5.244622
883875c537fffff,36.566745,5.257096
883875c543fffff,36.609129,5.231308
883875c551fffff,36.614087,5.248578
883875c555fffff,36.607531,5.241502
883875c557fffff,36.605931,5.251697
883875c56dfffff,36.591053,5.199905
883875c583fffff,36.579991,5.319104
883875c593fffff,36.583327,5.346582
883875c5abfffff,36.566882,5.304942
883875c5d1fffff,36.602867,5.319958
883875c5d3fffff,36.60126,5.330157
883875c5d5fffff,36.596313,5.312874
883875c5d7fffff,36.594706,5.323072
883875c5dbfffff,36.609421,5.327042
883875c5ddfffff,36.604473,5.309759
883875ca19fffff,36.534773,5.020495
883875ca5bfffff,36.551065,5.014231
883875cc59fffff,36.519245,5.2178
883875ce15fffff,36.543718,5.208443
883875ce17fffff,36.542119,5.218628
883875ce31fffff,36.529003,5.204498
883875ce33fffff,36.527403,5.214682
883875ce37fffff,36.520846,5.207617
883875ce59fffff,36.576341,5.195959
883875ce97fffff,36.530894,5.28994
883875ceb3fffff,36.516176,5.28598
883875cebbfffff,36.524338,5.282866
883875ceddfffff,36.558586,5.260214
883875d037fffff,36.714138,4.999296
883875d051fffff,36.761377,4.99065
883875d053fffff,36.759808,5.000845
883875d059fffff,36.769511,4.987509
883875d05bfffff,36.767942,4.997705
883875d181fffff,36.683162,5.00166
883875d183fffff,36.681588,5.011847
883875d185fffff,36.676598,4.994611
883875d189fffff,36.6913,4.998522
883875d18bfffff,36.689727,5.00871
883875d18dfffff,36.684735,4.991473
883875d19dfffff,36.688152,5.018899
883875d1c7fffff,36.692872,4.988334
883875d1d5fffff,36.697864,5.005572
883875d1e3fffff,36.67817,4.984425
883875d1ebfffff,36.686307,4.981286
883875d2adfffff,36.766372,5.007902
883875d2e5fffff,36.776075,4.994564
883875d2e7fffff,36.774506,5.004761
883875d369fffff,36.755751,4.877788
883875d36bfffff,36.754192,4.887976
883875d36dfffff,36.749182,4.87075
883875d8e3fffff,36.575239,4.957097
883875d8e9fffff,36.584953,4.943787
883875d8ebfffff,36.583379,4.95396
883875d91dfffff,36.550258,4.871107
883875da81fffff,36.637205,4.952345
883875da83fffff,36.635633,4.962525
883875da8bfffff,36.643771,4.959386
883875da9dfffff,36.642199,4.969567
883875dab9fffff,36.627495,4.965663
883875db19fffff,36.613771,4.856132
883875db1dfffff,36.607201,4.849107
883875db51fffff,36.623465,4.842817
883875db55fffff,36.616896,4.835793
88395a6937fffff,36.616608,3.501262
88395a69a7fffff,36.602786,3.5448
